,0
0,0.9310344827586207
1,1.0
2,0.8620689655172413
3,0.8076923076923077
4,1.0
5,0.8064516129032258
6,0.9666666666666667
7,0.8888888888888888
8,0.9615384615384616
9,1.0
10,0.9259259259259259
11,1.0
12,0.9230769230769231
13,0.7272727272727273
14,0.9090909090909091
15,0.9032258064516129
16,1.0
17,0.8518518518518519
18,0.85
19,0.8461538461538461
20,1.0
21,0.9285714285714286
22,0.7857142857142857
23,0.9393939393939394
24,0.9545454545454546
25,0.9666666666666667
26,0.96875
27,0.9090909090909091
28,0.92
29,0.96
30,0.96
31,0.9629629629629629
32,0.8214285714285714
33,0.6538461538461539
34,0.9
35,1.0
36,0.9230769230769231
37,0.6363636363636364
38,1.0
39,0.72
40,1.0
41,0.9393939393939394
42,0.96
43,1.0
44,0.8260869565217391
45,0.9166666666666666
46,1.0
47,0.92
48,1.0
49,1.0
50,0.8076923076923077
51,0.8
52,1.0
53,1.0
54,0.6818181818181818
55,1.0
56,0.782608695652174
57,0.8260869565217391
58,1.0
59,1.0
60,1.0
61,0.9032258064516129
62,1.0
63,1.0
64,1.0
65,1.0
66,0.85
67,0.8333333333333334
68,0.96
69,0.9
70,0.90625
71,1.0
72,0.9545454545454546
73,0.9310344827586207
74,0.75
75,0.8518518518518519
76,1.0
77,0.9375
78,0.9655172413793104
79,0.9166666666666666
80,1.0
81,1.0
82,0.9545454545454546
83,0.8620689655172413
84,1.0
85,0.9545454545454546
86,0.782608695652174
87,0.84
88,1.0
89,0.8928571428571429
90,0.95
91,1.0
92,0.6923076923076923
93,0.9166666666666666
94,1.0
95,1.0
96,0.9565217391304348
97,0.84
98,1.0
99,1.0
100,0.9230769230769231
